Customer_ID,Transaction_ID,Transaction_Date,Product_Category,Product_Name,Quantity,Unit_Price,Payment_Method,Region,Gender,Age,Unit_Cost
1254,5820,2024-03-17,Beauty,Perfume,3,12.26,PayPal,Kirkuk,Male,23,10.669
1519,6958,2024-09-14,Clothing,Jacket,10,28.65,Debit Card,Baghdad,Female,65,16.952
1650,2815,2024-06-04,Books,Textbook,9,94.46,PayPal,Mosul,Female,48,61.889
388,4151,2023-12-30,Home Decor,Candle,2,9.89,PayPal,Mosul,Female,63,6.386
400,3484,2024-04-08,Home Decor,Vase,10,9.22,Cash,Erbil,Male,49,5.484
697,9373,2024-06-23,Electronics,Smartphone,6,8.23,Debit Card,Kirkuk,Male,39,5.958
1879,8913,2024-08-06,Groceries,Misc,8,71.92,Cash,Kirkuk,Female,28,57.525
717,1360,2024-07-24,Home Decor,Vase,6,62.86,PayPal,Erbil,Male,18,43.19
1555,8012,2024-12-11,Electronics,Laptop,5,73.34,Debit Card,Baghdad,Male,30,60.869
1370,2545,2024-05-21,Electronics,Camera,9,41.66,Cash,Basra,Female,54,29.47
253,7290,2024-05-16,Groceries,Misc,9,24.32,Debit Card,Erbil,Female,35,12.482
1904,3139,2024-09-28,Clothing,Jacket,5,65.87,Credit Card,Erbil,Male,24,45.963
60,4802,2024-01-28,Electronics,Headphones,2,26.69,PayPal,Basra,Female,34,22.898
1256,3132,2024-09-01,Sports,Misc,9,81.27,Cash,Basra,Male,42,42.069
1030,8362,2024-09-21,Electronics,Camera,2,26.85,Credit Card,Kirkuk,Female,21,17.571
215,8197,2024-03-04,Electronics,Laptop,1,86.15,PayPal,Mosul,Male,33,58.304
1179,5873,2024-07-04,Home Decor,Lamp,6,91.23,Credit Card,Baghdad,Male,63,52.849
19,8133,2024-02-24,Books,Cookbook,1,78.84,Credit Card,Baghdad,Male,24,51.052
1855,8967,2024-10-04,Clothing,Dress,10,94.62,Credit Card,Najaf,Male,50,75.983
16,5663,2024-06-14,Groceries,Misc,2,76.97,Cash,Najaf,Male,36,62.175
1729,9909,2024-05-20,Groceries,Misc,7,43.22,PayPal,Mosul,Female,44,28.23
1432,2397,2024-05-20,Home Decor,Vase,2,39.09,Cash,Basra,Male,32,32.763
366,6416,2024-11-18,Clothing,Dress,1,9.58,PayPal,Basra,Female,28,5.514
1121,1943,2024-03-16,Home Decor,Curtains,3,31.54,Cash,Mosul,Female,56,22.871
1842,2562,2024-01-27,Groceries,Misc,4,86.45,PayPal,Kirkuk,Male,42,62.407
1813,8868,2024-05-17,Books,Biography,7,83.52,Debit Card,Kirkuk,Female,56,69.934
1654,7674,2024-02-07,Electronics,Laptop,5,75.35,PayPal,Erbil,Male,49,47.614
1712,7338,2024-09-15,Beauty,Mascara,9,25.85,Debit Card,Najaf,Female,64,15.754
1796,7889,2024-10-05,Beauty,Mascara,10,49.58,Debit Card,Najaf,Female,46,34.155
893,9301,2024-04-18,Beauty,Foundation,2,28.14,Credit Card,Basra,Male,63,15.668
183,6588,2024-10-03,Home Decor,Candle,8,38.06,PayPal,Basra,Female,46,22.372
