,Customer_ID,Transaction_ID,Transaction_Date,Product_Category,Product_Name,Quantity,Unit_Price,Payment_Method,Region,Gender,Age,Unit_Cost,Total_Spent,Spending_Segment,Age_Segment,Demographics_Segment,profit,Year,Month,Day,Season,cross_sell_suggestions,Up_sell_Suggestions
0,1254,5820,2024-03-17,Beauty,Perfume,3.0,12.26,PayPal,Kirkuk,Male,23,10.669,36.78,Low,Young Adult,Male Young Adult,1.5909999999999993,2024,3,17,Winter,Body Lotion,
1,1519,6958,2024-09-14,Clothing,Jacket,10.0,28.65,Debit Card,Baghdad,Female,65,16.952,286.5,Medium,Senior,Female Senior,11.697999999999997,2024,9,14,Summer,Scarf,
2,1650,2815,2024-06-04,Books,Textbook,9.0,94.46,PayPal,Mosul,Female,48,61.889,850.14,High,Adult,Female Adult,32.57099999999999,2024,6,4,Spring,,Annotated Edition 
3,388,4151,2023-12-30,Home Decor,Candle,2.0,9.89,PayPal,Mosul,Female,63,6.386,19.78,Low,Senior,Female Senior,3.5040000000000004,2023,12,30,Fall,Candle Holder,
4,400,3484,2024-04-08,Home Decor,Vase,10.0,9.22,Cash,Erbil,Male,49,5.484,92.2,Low,Adult,Male Adult,3.7360000000000007,2024,4,8,Spring,Flowers,
5,697,9373,2024-06-23,Electronics,Smartphone,6.0,8.23,Debit Card,Kirkuk,Male,39,5.958,49.38,Low,Adult,Male Adult,2.2720000000000002,2024,6,23,Spring,Screen Protector,
6,1879,8913,2024-08-06,Groceries,Misc,8.0,71.92,Cash,Kirkuk,Female,28,57.525,575.36,High,Young Adult,Female Young Adult,14.395000000000003,2024,8,6,Summer,,Personalized Miscellaneous Items
7,717,1360,2024-07-24,Home Decor,Vase,6.0,62.86,PayPal,Erbil,Male,18,43.19,377.15999999999997,Medium,Adult,Male Adult,19.67,2024,7,24,Summer,Flowers,
8,1555,8012,2024-12-11,Electronics,Laptop,5.0,73.34,Debit Card,Baghdad,Male,30,60.869,366.70000000000005,Medium,Young Adult,Male Young Adult,12.471000000000004,2024,12,11,Fall,Laptop Bag,
9,1370,2545,2024-05-21,Electronics,Camera,9.0,41.66,Cash,Basra,Female,54,29.47,374.93999999999994,Medium,Senior,Female Senior,12.189999999999998,2024,5,21,Spring,Camera Bag,
10,253,7290,2024-05-16,Groceries,Misc,9.0,24.32,Debit Card,Erbil,Female,35,12.482,218.88,Medium,Young Adult,Female Young Adult,11.838000000000001,2024,5,16,Spring,Personalized Accessories,
11,1904,3139,2024-09-28,Clothing,Jacket,5.0,65.87,Credit Card,Erbil,Male,24,45.963,329.35,Medium,Young Adult,Male Young Adult,19.907000000000004,2024,9,28,Summer,Scarf,
12,60,4802,2024-01-28,Electronics,Headphones,2.0,26.69,PayPal,Basra,Female,34,22.898,53.38,Low,Young Adult,Female Young Adult,3.7920000000000016,2024,1,28,Winter,Headphone Case,
13,1256,3132,2024-09-01,Sports,Misc,9.0,81.27,Cash,Basra,Male,42,42.069,731.43,High,Adult,Male Adult,39.20099999999999,2024,9,1,Summer,,Personalized Miscellaneous Items
14,1030,8362,2024-09-21,Electronics,Camera,2.0,26.85,Credit Card,Kirkuk,Female,21,17.571,53.7,Low,Young Adult,Female Young Adult,9.279,2024,9,21,Summer,Camera Bag,
15,215,8197,2024-03-04,Electronics,Laptop,1.0,86.15,PayPal,Mosul,Male,33,58.304,86.15,Low,Young Adult,Male Young Adult,27.846000000000004,2024,3,4,Winter,Laptop Bag,
16,1179,5873,2024-07-04,Home Decor,Lamp,6.0,91.23,Credit Card,Baghdad,Male,63,52.849,547.38,High,Senior,Male Senior,38.38100000000001,2024,7,4,Summer,,Smart Lamp 
17,19,8133,2024-02-24,Books,Cookbook,1.0,78.84,Credit Card,Baghdad,Male,24,51.052,78.84,Low,Young Adult,Male Young Adult,27.788000000000004,2024,2,24,Winter,Recipe Notebook,
18,1855,8967,2024-10-04,Clothing,Dress,10.0,94.62,Credit Card,Najaf,Male,50,75.983,946.2,High,Adult,Male Adult,18.637,2024,10,4,Fall,,Evening Gown
19,16,5663,2024-06-14,Groceries,Misc,2.0,76.97,Cash,Najaf,Male,36,62.175,153.94,Medium,Adult,Male Adult,14.795000000000002,2024,6,14,Spring,Personalized Accessories,
20,1729,9909,2024-05-20,Groceries,Misc,7.0,43.22,PayPal,Mosul,Female,44,28.23,302.53999999999996,Medium,Adult,Female Adult,14.989999999999998,2024,5,20,Spring,Personalized Accessories,
21,1432,2397,2024-05-20,Home Decor,Vase,2.0,39.09,Cash,Basra,Male,32,32.763,78.18,Low,Young Adult,Male Young Adult,6.327000000000005,2024,5,20,Spring,Flowers,
22,366,6416,2024-11-18,Clothing,Dress,1.0,9.58,PayPal,Basra,Female,28,5.514,9.58,Low,Young Adult,Female Young Adult,4.066,2024,11,18,Fall,Jewelry,
23,1121,1943,2024-03-16,Home Decor,Curtains,3.0,31.54,Cash,Mosul,Female,56,22.871,94.62,Low,Senior,Female Senior,8.669,2024,3,16,Winter,Matching Cushions,
24,1842,2562,2024-01-27,Groceries,Misc,4.0,86.45,PayPal,Kirkuk,Male,42,62.407,345.8,Medium,Adult,Male Adult,24.043000000000006,2024,1,27,Winter,Personalized Accessories,
25,1813,8868,2024-05-17,Books,Biography,7.0,83.52,Debit Card,Kirkuk,Female,56,69.934,584.64,High,Senior,Female Senior,13.585999999999999,2024,5,17,Spring,,Collector's Edition Biography
26,1654,7674,2024-02-07,Electronics,Laptop,5.0,75.35,PayPal,Erbil,Male,49,47.614,376.75,Medium,Adult,Male Adult,27.735999999999997,2024,2,7,Winter,Laptop Bag,
27,1712,7338,2024-09-15,Beauty,Mascara,9.0,25.85,Debit Card,Najaf,Female,64,15.754,232.65,Medium,Senior,Female Senior,10.096000000000002,2024,9,15,Summer,Eyeliner,
28,1796,7889,2024-10-05,Beauty,Mascara,10.0,49.58,Debit Card,Najaf,Female,46,34.155,495.79999999999995,High,Adult,Female Adult,15.424999999999997,2024,10,5,Fall,,Waterproof Mascara
29,893,9301,2024-04-18,Beauty,Foundation,2.0,28.14,Credit Card,Basra,Male,63,15.668,56.28,Low,Senior,Male Senior,12.472000000000001,2024,4,18,Spring,Makeup Brush,
30,183,6588,2024-10-03,Home Decor,Candle,8.0,38.06,PayPal,Basra,Female,46,22.372,304.48,Medium,Adult,Female Adult,15.688000000000002,2024,10,3,Fall,Candle Holder,
31,1552,8506,2024-10-27,Groceries,Misc,3.0,26.24,Debit Card,Kirkuk,Male,29,15.489,78.72,Low,Young Adult,Male Young Adult,10.750999999999998,2024,10,27,Fall,Personalized Accessories,
32,482,5372,2024-10-30,Clothing,T-Shirt,10.0,79.37,PayPal,Kirkuk,Female,59,51.865,793.7,High,Senior,Female Senior,27.505000000000003,2024,10,30,Fall,,Branded T-Shirt
33,169,1729,2024-02-16,Groceries,Misc,7.0,96.17,PayPal,Najaf,Female,40,64.519,673.19,High,Adult,Female Adult,31.650999999999996,2024,2,16,Winter,,Personalized Miscellaneous Items
34,1167,2921,2024-04-07,Sports,Misc,8.0,46.61,PayPal,Najaf,Male,41,35.774,372.88,Medium,Adult,Male Adult,10.835999999999999,2024,4,7,Spring,Personalized Accessories,
35,1717,8760,2024-01-06,Beauty,Foundation,6.0,6.57,Debit Card,Baghdad,Male,62,5.301,39.42,Low,Senior,Male Senior,1.2690000000000001,2024,1,6,Winter,Makeup Brush,
36,1969,7683,2024-02-28,Books,Textbook,8.0,87.66,Cash,Baghdad,Male,51,73.428,701.28,High,Senior,Male Senior,14.232,2024,2,28,Winter,,Annotated Edition 
37,105,4726,2024-04-06,Home Decor,Curtains,9.0,45.23,Debit Card,Mosul,Female,38,36.047,407.07,Medium,Adult,Female Adult,9.183,2024,4,6,Spring,Matching Cushions,
38,615,8933,2024-05-07,Home Decor,Curtains,7.0,48.85,Debit Card,Najaf,Female,31,42.306,341.95,Medium,Young Adult,Female Young Adult,6.544000000000004,2024,5,7,Spring,Matching Cushions,
39,497,2171,2024-08-02,Groceries,Misc,8.0,75.14,Credit Card,Kirkuk,Male,55,57.031,601.12,High,Senior,Male Senior,18.109,2024,8,2,Summer,,Personalized Miscellaneous Items
40,1382,9349,2024-06-08,Home Decor,Lamp,2.0,64.84,Debit Card,Erbil,Male,32,49.03,129.68,Medium,Young Adult,Male Young Adult,15.810000000000002,2024,6,8,Spring,Light Bulb,
41,1669,6629,2024-05-14,Books,Biography,3.0,90.95,Credit Card,Najaf,Male,29,70.123,272.85,Medium,Young Adult,Male Young Adult,20.826999999999998,2024,5,14,Spring,Bookmark,
